outing_duration_hr,total_distance_m,max_deviation_from_home_m,return_time_diff_min,stay_outside_living_area_min
0.97,1077.3,11.1,-13.0,0.0
1.6,1937.4,8.5,4.0,0.0
1.38,1629.0,9.3,-6.5,0.0
1.3,1783.5,80.0,-5.3,0.0
1.68,2084.5,5.0,5.9,0.0
1.81,2262.8,40.4,12.4,0.0
1.78,2025.3,17.3,0.2,0.0
1.25,1406.6,11.5,3.1,0.0
1.41,1597.4,25.8,17.0,0.0
1.6,2013.9,13.3,2.4,0.0
1.79,2038.0,41.3,26.0,0.0
1.36,1686.4,46.2,5.7,0.0
1.44,2182.8,11.0,-17.6,0.0
1.17,1554.4,6.5,7.5,0.0
1.14,1313.6,17.9,3.8,0.0
1.74,2406.7,48.7,12.9,0.0
1.91,2171.5,5.0,6.7,0.0
1.48,1322.1,19.5,-1.4,0.0
1.8,1888.9,20.0,-12.2,0.0
1.61,1478.8,26.4,-2.1,0.0
1.31,1498.9,5.0,-8.5,0.0
1.61,1934.5,25.2,-5.8,0.0
1.96,2846.9,47.9,5.9,0.0
1.49,1860.1,5.0,16.7,0.0
1.97,2298.5,5.4,3.9,0.0
0.71,945.7,71.1,-12.0,0.0
1.75,1516.6,5.0,4.4,0.0
1.53,1885.3,38.5,12.0,0.0
1.41,1855.4,13.6,-6.1,0.0
1.53,1494.2,5.7,-1.3,0.0
0.9,1239.5,40.9,0.1,0.0
1.43,1793.7,11.8,-7.8,0.0
1.61,1828.4,14.5,6.5,0.0
1.94,2516.5,8.9,-1.2,0.0
1.34,2071.4,18.0,4.2,0.0
1.26,1543.2,5.0,-8.9,0.0
1.35,1669.6,9.9,-4.4,0.0
1.77,2007.3,69.7,7.2,0.0
1.6,1714.6,6.0,-3.7,0.0
1.34,1776.3,21.4,17.3,0.0
1.65,1772.4,7.9,-4.0,0.0
1.53,1851.4,29.7,2.2,0.0
1.79,2020.4,5.0,9.3,0.0
1.29,1639.9,70.0,-14.2,0.0
1.4,1752.2,12.1,-17.6,0.0
1.38,1874.0,5.4,-15.3,0.0
1.06,1192.0,5.0,12.6,0.0
1.59,1842.3,5.0,-5.5,0.0
1.58,1662.3,14.7,25.6,0.0
1.5,1701.8,8.2,-5.6,0.0
1.43,1796.5,35.3,1.8,0.0
1.08,1412.6,11.3,15.4,0.0
1.37,1458.5,5.7,20.1,0.0
1.4,1858.9,19.2,20.6,0.0
1.26,1767.3,24.5,12.1,0.0
1.45,1832.0,5.0,10.2,0.0
1.62,2401.9,5.0,5.9,0.0
2.07,2239.2,5.0,7.8,0.0
1.55,1573.0,26.7,-5.5,0.0
1.58,1471.9,21.8,-8.2,0.0
1.48,2104.8,12.9,-0.0,0.0
0.92,1200.0,37.2,-1.7,0.0
1.49,1778.0,32.8,-4.5,0.0
1.52,1885.4,17.6,7.0,0.0
2.24,2308.8,40.5,9.6,0.0
1.44,2259.9,5.0,0.9,0.0
1.59,1939.4,5.0,14.8,0.0
1.49,1811.9,6.3,-11.4,0.0
1.15,1504.4,5.0,-1.9,0.0
1.84,2344.4,15.2,-7.2,0.0
1.73,2128.6,55.2,-18.7,0.0
1.74,1878.8,5.0,-0.8,0.0
1.23,1559.4,5.0,-1.2,0.0
1.92,2847.3,12.0,15.1,0.0
1.08,1513.2,54.3,6.3,0.0
1.68,2411.8,7.6,-10.2,0.0
2.16,2423.1,14.2,18.5,0.0
1.2,1264.9,5.0,12.2,0.0
1.33,1571.0,5.0,5.8,0.0
1.53,1848.7,80.0,-2.3,0.0
1.35,1840.2,67.1,-9.6,0.0
1.03,979.1,5.0,-3.7,0.0
1.52,2173.6,60.7,10.9,0.0
1.18,1389.6,20.4,18.8,0.0
1.64,1865.3,40.5,15.4,0.0
1.22,1283.2,12.1,-4.9,0.0
1.96,1870.2,14.5,-11.2,0.0
1.27,1674.2,13.4,1.4,0.0
1.4,1699.5,22.0,-17.7,0.0
1.74,1755.4,5.0,3.2,0.0
1.13,1137.2,5.0,-1.5,0.0
1.57,1802.9,7.4,-4.7,0.0
1.89,2744.3,24.4,-15.9,0.0
1.02,1181.7,5.0,5.1,0.0
1.56,1515.8,22.4,-5.3,0.0
1.58,1835.4,70.1,-11.7,0.0
1.73,2010.5,5.0,-28.7,0.0
1.13,898.0,22.3,-0.3,0.0
1.1,1315.6,11.7,17.7,0.0
1.66,1930.5,40.5,16.6,0.0
1.59,2072.9,5.0,-4.6,0.0
1.58,2327.0,23.6,-6.0,0.0
1.6,2195.8,36.4,4.7,0.0
1.3,1502.9,57.9,-10.0,0.0
1.57,1623.1,23.0,3.0,0.0
1.59,2518.5,13.8,7.7,0.0
1.29,1554.3,19.2,12.3,0.0
2.06,2476.0,40.6,-1.0,0.0
1.64,1964.6,16.9,-2.0,0.0
1.14,1405.1,5.0,-8.8,0.0
1.7,1999.6,53.5,-8.3,0.0
1.21,1345.2,23.4,-2.3,0.0
1.74,1940.9,22.6,3.7,0.0
1.85,2208.0,5.0,9.1,0.0
1.25,1402.4,21.5,-8.0,0.0
1.79,1955.5,10.0,14.9,0.0
1.62,1974.5,21.1,-2.7,0.0
1.75,2029.1,5.0,-0.2,0.0
2.07,2949.6,21.4,-7.5,0.0
1.43,1144.5,80.0,-24.2,0.0
1.27,1737.2,5.0,8.8,0.0
1.23,1710.3,75.6,7.4,0.0
1.26,1115.9,10.4,-2.8,0.0
1.48,1696.3,40.9,0.7,0.0
1.6,1833.5,30.5,5.2,0.0
1.58,1565.4,16.7,-15.6,0.0
1.75,1893.8,26.8,-5.3,0.0
1.5,1554.2,42.2,7.9,0.0
1.94,2832.1,10.4,-12.5,0.0
1.42,1904.1,7.9,2.9,0.0
2.32,3221.0,22.0,-13.6,0.0
1.69,2207.9,33.0,4.7,0.0
1.24,1280.9,28.7,-0.4,0.0
1.18,1321.7,32.0,-16.2,0.0
1.64,2094.4,11.4,11.6,0.0
1.43,1456.9,34.1,-7.3,0.0
1.71,2240.4,5.0,-8.1,0.0
1.64,1911.2,15.7,2.0,0.0
1.48,1690.7,5.0,11.5,0.0
1.25,1628.0,7.8,-10.2,0.0
1.05,1324.3,9.1,0.6,0.0
1.37,1565.3,10.1,4.3,0.0
1.76,2413.8,23.8,6.9,0.0
1.56,1623.4,9.8,1.8,0.0
1.13,1455.6,11.9,-3.7,0.0
1.55,2000.4,5.4,-8.3,0.0
1.62,1863.7,9.3,0.9,0.0
1.23,1542.2,5.2,-10.7,0.0
1.55,1565.2,5.0,-29.2,0.0
1.52,2031.3,18.5,4.4,0.0
1.16,1356.4,22.1,9.0,0.0
1.61,1802.8,19.3,-23.6,0.0
1.67,2264.4,12.5,-10.1,0.0
1.82,1997.1,9.6,6.2,0.0
1.82,1795.7,39.8,20.6,0.0
1.09,1050.3,14.6,0.2,0.0
1.22,1573.2,13.0,-7.3,0.0
1.65,1667.6,5.0,-1.8,0.0
1.65,2420.4,8.3,13.7,0.0
1.65,1468.7,9.6,-6.5,0.0
2.66,3862.8,10.2,-8.0,0.0
1.67,2058.4,17.4,-4.8,0.0
1.84,2182.1,15.3,-9.5,0.0
1.79,1997.4,18.7,1.2,0.0
1.7,2136.0,29.0,16.2,0.0
1.41,1678.6,33.5,3.2,0.0
1.73,2359.2,25.3,-2.5,0.0
1.27,1543.5,62.3,-2.9,0.0
1.43,1747.0,5.0,-15.6,0.0
1.35,1551.4,5.0,8.8,0.0
1.52,1816.5,5.0,-0.8,0.0
2.19,2734.6,20.9,-1.8,0.0
0.94,886.7,45.7,30.0,0.0
1.71,1702.1,5.6,3.0,0.0
1.02,1332.7,52.4,-7.5,0.0
1.36,1664.9,5.0,-4.3,0.0
1.83,2141.6,54.5,11.5,0.0
1.52,1827.3,8.7,1.1,0.0
1.18,1473.4,5.0,-14.4,0.0
1.29,1438.4,13.3,9.2,0.0
1.7,1845.7,5.9,-6.7,0.0
1.28,1574.7,6.7,18.7,0.0
1.56,1648.3,7.3,10.8,0.0
1.51,1909.1,32.5,-4.5,0.0
1.3,1232.3,15.5,12.8,0.0
2.14,2902.7,7.5,0.7,0.0
1.69,2148.0,18.8,8.5,0.0
0.89,1105.2,25.2,4.8,0.0
1.56,2096.5,6.4,-8.5,0.0
1.3,1886.9,10.7,-6.4,0.0
1.76,2374.0,5.0,10.3,0.0
1.26,1166.1,5.0,-3.3,0.0
1.47,1477.4,22.9,-4.0,0.0
1.65,1827.0,5.0,-9.6,0.0
1.76,2118.6,14.9,4.2,0.0
1.14,1456.4,24.7,20.6,0.0
1.4,1527.2,5.0,-10.7,0.0
1.36,1667.1,16.8,0.2,0.0
1.3,1417.0,5.9,14.1,0.0
2.03,2249.4,65.9,-0.8,0.0
1.62,1603.7,13.2,4.5,0.0
1.12,1190.7,32.8,-10.6,0.0
1.78,1770.5,16.0,4.3,0.0
2.14,2251.2,5.0,-1.9,0.0
1.81,2457.7,20.1,9.9,0.0
1.04,1104.3,60.5,11.9,0.0
1.35,2160.6,18.4,25.9,0.0
1.88,2395.2,34.2,5.8,0.0
1.29,1580.9,43.1,3.3,0.0
1.63,1749.5,5.2,1.9,0.0
1.73,2260.8,5.0,-3.5,0.0
1.22,1360.8,18.9,3.4,0.0
1.48,1805.7,10.6,-3.0,0.0
0.53,835.8,36.6,1.7,0.0
1.19,1414.0,46.1,13.2,0.0
1.42,1954.6,8.7,-10.1,0.0
1.13,1232.1,5.4,11.4,0.0
1.99,2377.2,30.3,13.2,0.0
1.07,1569.6,6.4,-1.2,0.0
1.37,1512.9,34.6,-21.2,0.0
1.54,2265.5,11.0,-6.1,0.0
1.93,2524.0,22.0,13.0,0.0
1.07,1192.9,5.0,-0.2,0.0
1.85,2394.1,19.6,-10.0,0.0
1.5,2023.0,12.0,-5.0,0.0
1.21,1559.1,17.7,8.4,0.0
1.64,1580.4,5.0,5.5,0.0
1.56,1701.5,26.7,-2.4,0.0
1.32,1534.9,39.7,-3.7,0.0
1.52,1808.1,5.0,-3.9,0.0
1.38,1790.2,5.0,-9.2,0.0
1.53,1881.8,5.0,16.2,0.0
1.7,1698.1,20.5,-3.2,0.0
1.98,2483.6,18.7,12.2,0.0
1.13,1457.8,15.8,15.2,0.0
2.14,2747.6,5.3,10.0,0.0
0.91,1245.5,9.9,-4.3,0.0
1.45,1927.3,18.1,4.0,0.0
1.68,2127.3,13.7,-0.2,0.0
1.58,1884.5,80.0,-9.0,0.0
1.31,1248.7,5.0,3.2,0.0
1.44,1817.7,23.8,-11.8,0.0
1.35,1664.6,10.4,11.9,0.0
1.32,1641.7,11.2,-4.6,0.0
1.75,1769.8,25.3,2.0,0.0
1.61,1667.9,23.6,2.8,0.0
1.29,1754.7,80.0,-2.6,0.0
1.77,2113.4,5.0,5.9,0.0
1.59,2073.4,5.0,-4.7,0.0
1.74,2100.0,25.8,8.7,0.0
1.69,2034.2,17.3,-13.5,0.0
1.25,1677.7,6.4,1.3,0.0
1.33,1495.2,5.0,19.4,0.0
1.72,2093.9,5.0,-10.0,0.0
1.68,1903.0,44.9,-6.8,0.0
1.49,1695.1,5.0,5.1,0.0
1.54,1771.0,7.8,1.8,0.0
1.88,2322.7,5.1,3.5,0.0
1.32,1492.1,8.8,4.9,0.0
1.66,2310.4,5.0,6.3,0.0
1.44,1534.1,14.6,11.1,0.0
1.43,1681.4,5.0,4.1,0.0
1.83,2074.9,32.2,-2.4,0.0
1.75,2476.5,5.3,6.7,0.0
1.74,2144.3,15.5,19.0,0.0
1.89,2562.8,42.4,-1.3,0.0
1.51,1471.9,21.0,-9.7,0.0
1.7,2113.8,15.2,11.1,0.0
1.41,1876.0,7.8,-1.2,0.0
1.6,1936.4,8.1,-21.7,0.0
1.46,1986.6,22.1,8.5,0.0
1.53,1716.3,80.0,-5.4,0.0
1.68,2369.1,21.7,-0.9,0.0
1.25,1938.0,16.3,3.3,0.0
2.13,2437.5,26.2,1.9,0.0
1.2,1357.8,12.5,7.1,0.0
1.14,1610.5,5.0,-4.4,0.0
1.85,2654.6,16.5,5.1,0.0
1.74,1948.7,63.2,-2.6,0.0
1.69,1918.3,5.0,7.4,0.0
1.69,1954.8,23.4,6.2,0.0
1.5,1493.8,5.0,-9.4,0.0
1.23,1307.4,15.3,10.9,0.0
1.52,1597.9,5.0,-5.4,0.0
1.3,1406.9,12.0,8.1,0.0
1.79,2141.7,28.2,3.7,0.0
1.46,1798.2,8.5,18.4,0.0
1.25,1794.1,21.9,-2.2,0.0
1.4,1474.1,31.7,-3.5,0.0
1.62,2188.4,52.4,-0.2,0.0
1.33,1554.3,5.3,-3.0,0.0
1.25,1494.7,10.2,8.0,0.0
1.57,2047.0,5.0,-16.2,0.0
1.57,1623.2,80.0,-10.5,0.0
1.35,1694.8,52.3,-10.7,0.0
1.36,1664.3,15.5,9.5,0.0
1.57,1999.5,36.9,17.1,0.0
1.07,1324.9,14.7,-1.0,0.0
1.08,1690.2,19.5,-1.7,0.0
1.28,1418.5,5.0,0.7,0.0
1.44,1608.8,28.2,11.6,0.0
1.59,1763.0,5.0,-9.3,0.0
1.94,2169.3,35.0,2.4,0.0
1.76,1940.7,30.5,9.8,0.0
1.45,2001.4,24.7,5.0,0.0
1.49,2111.6,5.0,1.9,0.0
1.2,1336.4,7.2,10.0,0.0
1.49,1606.7,6.1,-27.0,0.0
1.41,1796.0,8.9,6.8,0.0
1.6,1783.9,5.0,-6.5,0.0
1.25,1621.0,55.3,-18.3,0.0
1.66,2037.4,16.1,5.1,0.0
1.96,1906.2,7.3,13.7,0.0
1.47,2101.5,10.1,-1.4,0.0
1.62,2381.2,11.9,9.5,0.0
1.71,1891.5,18.4,16.1,0.0
1.38,1575.3,14.5,13.1,0.0
1.57,1947.9,50.4,16.4,0.0
1.5,1880.0,13.7,7.4,0.0
1.53,1986.2,80.0,0.8,0.0
1.27,1904.1,38.1,-16.0,0.0
1.51,1768.8,5.0,-2.5,0.0
1.65,1781.8,53.4,-8.4,0.0
1.94,1922.0,5.0,21.7,0.0
1.79,1949.3,34.0,-1.8,0.0
2.15,2564.5,9.6,1.2,0.0
1.27,1865.6,42.1,5.5,0.0
1.76,1977.3,40.5,0.4,0.0
1.56,1918.2,32.8,17.0,0.0
2.16,2583.0,31.2,-6.2,0.0
1.26,1733.2,7.3,1.9,0.0
1.25,1970.8,5.0,-7.4,0.0
1.32,1479.1,10.3,-13.2,0.0
0.86,972.1,5.0,-6.1,0.0
1.34,1821.0,23.7,-0.4,0.0
1.27,1656.8,8.5,-4.3,0.0
1.55,2282.1,74.3,-6.9,0.0
1.6,2063.4,20.5,-14.1,0.0
2.06,2364.2,34.6,-0.8,0.0
1.79,2300.3,5.0,-15.0,0.0
1.33,1813.0,39.6,7.6,0.0
1.23,1628.0,51.2,0.8,0.0
1.65,2102.5,13.4,-14.6,0.0
1.1,1501.3,18.6,-3.1,0.0
2.05,2818.8,28.9,-7.5,0.0
1.85,2608.9,5.0,3.2,0.0
1.36,1763.4,14.0,13.4,0.0
0.99,1158.6,10.2,-18.8,0.0
1.91,2329.3,5.0,1.2,0.0
1.47,2024.0,9.2,-1.6,0.0
1.87,2016.3,5.0,6.7,0.0
1.02,1282.5,5.0,2.1,0.0
1.32,1506.3,5.0,-7.5,0.0
1.5,1808.4,66.0,-3.2,0.0
1.51,2107.3,15.9,-8.0,0.0
1.36,1677.1,67.5,10.8,0.0
1.69,2036.0,11.3,0.2,0.0
1.18,1175.0,7.5,19.0,0.0
1.46,1911.9,14.1,-0.6,0.0
1.54,1992.0,11.6,-7.1,0.0
1.65,2522.0,5.0,-15.1,0.0
1.71,1977.1,20.5,-18.0,0.0
1.16,1433.3,5.0,-15.8,0.0
1.04,1286.6,19.3,2.7,0.0
1.88,2705.6,21.0,5.1,0.0
1.6,1896.8,5.0,-15.8,0.0
1.28,1583.9,5.0,9.0,0.0
1.97,2537.6,30.4,-4.8,0.0
1.53,1884.6,12.3,1.5,0.0
1.85,2100.4,5.0,16.1,0.0
1.52,1868.6,80.0,9.0,0.0
2.12,2883.0,5.0,-2.7,0.0
2.03,2119.9,23.8,-8.9,0.0
1.43,1738.8,80.0,-21.5,0.0
1.79,1961.6,5.5,-7.2,0.0
1.69,2335.9,5.0,-2.1,0.0
1.91,1856.2,5.0,-9.9,0.0
1.21,1351.1,7.2,-1.3,0.0
1.71,2143.5,5.0,0.8,0.0
1.82,2607.8,23.6,-2.2,0.0
0.97,1157.3,5.0,-6.5,0.0
1.15,1278.7,14.2,1.7,0.0
0.89,1316.5,80.0,4.4,0.0
1.42,1394.8,33.6,-10.9,0.0
1.72,1492.6,19.1,14.1,0.0
1.95,2469.6,7.3,-1.0,0.0
1.52,1712.0,19.6,0.2,0.0
1.99,2081.7,15.0,7.1,0.0
1.09,1418.6,11.1,2.3,0.0
0.99,1222.9,5.0,9.5,0.0
1.48,1654.5,43.5,2.9,0.0
1.62,1628.1,11.9,-6.1,0.0
1.49,1983.2,5.0,3.6,0.0
0.88,1141.5,9.2,-11.4,0.0
1.47,1746.0,10.7,1.1,0.0
1.11,1637.5,35.2,-0.3,0.0
1.7,1768.1,26.5,-2.1,0.0
1.61,1563.6,29.3,-1.3,0.0
1.22,1335.2,5.0,-18.8,0.0
1.35,1605.8,10.8,-5.5,0.0
1.18,1461.8,13.1,0.9,0.0
1.48,1723.8,5.0,1.6,0.0
1.79,2238.2,6.0,-10.3,0.0
1.2,1219.1,28.6,12.7,0.0
1.65,2339.1,5.0,-8.7,0.0
1.34,1592.6,15.3,9.7,0.0
1.26,1726.1,5.0,4.3,0.0
1.47,1836.9,5.0,-6.5,0.0
1.19,1508.8,5.5,17.8,0.0
1.33,1714.7,74.5,-11.9,0.0
1.14,1445.4,32.3,9.2,0.0
2.09,2708.7,64.2,10.0,0.0
1.51,2113.9,13.4,-6.7,0.0
1.29,1586.1,5.0,13.9,0.0
1.56,2043.4,15.9,-2.5,0.0
1.47,1739.8,12.1,2.9,0.0
1.43,2030.2,37.2,2.6,0.0
1.68,1850.2,5.0,-1.3,0.0
1.73,2539.3,13.4,8.1,0.0
1.34,1600.9,5.0,7.9,0.0
1.33,1307.9,7.9,-17.5,0.0
1.42,1728.2,26.7,13.0,0.0
0.81,888.6,12.9,-16.6,0.0
1.05,1386.4,9.4,10.3,0.0
1.91,2105.1,10.0,11.3,0.0
1.99,2258.8,12.3,-10.9,0.0
1.43,1306.4,30.7,-4.1,0.0
1.67,1894.1,44.5,-11.1,0.0
1.59,1332.7,62.2,-2.1,0.0
2.42,2332.6,30.9,-3.1,0.0
1.84,2412.5,7.6,7.8,0.0
1.46,1926.2,23.3,13.1,0.0
1.21,1533.4,11.5,14.0,0.0
1.02,1074.0,5.9,-5.6,0.0
1.56,1862.1,36.8,-2.1,0.0
1.27,1527.0,5.0,-16.8,0.0
1.07,1101.5,46.4,-8.1,0.0
1.31,1861.8,12.4,9.6,0.0
1.18,1565.3,20.3,16.2,0.0
2.01,2340.9,21.5,-12.3,0.0
1.76,2124.5,45.1,-5.9,0.0
1.5,1843.9,20.2,-0.3,0.0
1.94,1737.4,19.0,2.8,0.0
1.52,1771.4,5.0,-8.1,0.0
1.24,1362.9,14.6,4.2,0.0
1.96,2054.3,5.0,-4.7,0.0
1.66,1923.9,26.7,-0.1,0.0
1.19,1747.2,14.4,5.5,0.0
1.44,1870.2,22.8,0.1,0.0
1.24,1378.8,5.0,-4.4,0.0
1.09,1395.4,5.0,-1.1,0.0
